0 [1.000e+05, 2.000e-01]
1000 [1.399e+05, 3.528e-01]
2000 [1.492e+05, 3.805e-01]
3000 [1.529e+05, 3.805e-01]
4000 [1.558e+05, 3.794e-01]
5000 [1.581e+05, 3.774e-01]
6000 [1.610e+05, 3.759e-01]
7000 [1.642e+05, 3.744e-01]
8000 [1.668e+05, 3.715e-01]
9000 [1.692e+05, 3.677e-01]
10000 [1.719e+05, 3.642e-01]
11000 [1.748e+05, 3.599e-01]
12000 [1.775e+05, 3.553e-01]
13000 [1.804e+05, 3.500e-01]
14000 [1.835e+05, 3.444e-01]
15000 [1.871e+05, 3.383e-01]
16000 [1.901e+05, 3.323e-01]
17000 [1.908e+05, 3.234e-01]
18000 [1.925e+05, 3.232e-01]
19000 [1.936e+05, 3.222e-01]
20000 [1.948e+05, 3.202e-01]
21000 [1.963e+05, 3.168e-01]
22000 [1.981e+05, 3.124e-01]
23000 [2.004e+05, 3.072e-01]
24000 [2.023e+05, 3.021e-01]
25000 [2.045e+05, 2.968e-01]
26000 [2.067e+05, 2.913e-01]
27000 [2.082e+05, 2.861e-01]
28000 [2.099e+05, 2.810e-01]
29000 [2.030e+05, 2.719e-01]
30000 [2.076e+05, 2.730e-01]
31000 [2.096e+05, 2.734e-01]
32000 [2.104e+05, 2.733e-01]
33000 [2.108e+05, 2.729e-01]
34000 [2.118e+05, 2.723e-01]
35000 [2.123e+05, 2.709e-01]
36000 [2.130e+05, 2.693e-01]
37000 [2.136e+05, 2.673e-01]
38000 [2.147e+05, 2.655e-01]
39000 [2.150e+05, 2.633e-01]
40000 [2.156e+05, 2.611e-01]
41000 [2.160e+05, 2.598e-01]
42000 [2.162e+05, 2.575e-01]
43000 [2.168e+05, 2.559e-01]
44000 [2.171e+05, 2.546e-01]
45000 [2.126e+05, 2.509e-01]
46000 [2.149e+05, 2.516e-01]
47000 [2.158e+05, 2.518e-01]
48000 [2.164e+05, 2.515e-01]
49000 [2.172e+05, 2.510e-01]
50000 [2.178e+05, 2.497e-01]
51000 [2.182e+05, 2.480e-01]
52000 [2.186e+05, 2.468e-01]
53000 [2.190e+05, 2.462e-01]
54000 [2.189e+05, 2.459e-01]
55000 [2.189e+05, 2.457e-01]
56000 [2.189e+05, 2.459e-01]
57000 [2.198e+05, 2.409e-01]
58000 [2.193e+05, 2.410e-01]
59000 [2.193e+05, 2.414e-01]
60000 [2.192e+05, 2.421e-01]
61000 [2.193e+05, 2.427e-01]
62000 [2.192e+05, 2.431e-01]
63000 [2.192e+05, 2.434e-01]
64000 [2.192e+05, 2.441e-01]
65000 [2.190e+05, 2.446e-01]
66000 [2.189e+05, 2.454e-01]
67000 [2.189e+05, 2.461e-01]
68000 [2.187e+05, 2.467e-01]
69000 [2.187e+05, 2.471e-01]
70000 [2.167e+05, 2.373e-01]
71000 [2.188e+05, 2.381e-01]
72000 [2.189e+05, 2.385e-01]
73000 [2.189e+05, 2.393e-01]
74000 [2.190e+05, 2.404e-01]
75000 [2.189e+05, 2.418e-01]
76000 [2.188e+05, 2.431e-01]
77000 [2.188e+05, 2.441e-01]
78000 [2.187e+05, 2.448e-01]
79000 [2.186e+05, 2.453e-01]
80000 [2.184e+05, 2.461e-01]
81000 [2.183e+05, 2.469e-01]
82000 [2.182e+05, 2.474e-01]
83000 [2.161e+05, 2.439e-01]
84000 [2.172e+05, 2.442e-01]
85000 [2.176e+05, 2.444e-01]
86000 [2.177e+05, 2.450e-01]
87000 [2.179e+05, 2.454e-01]
88000 [2.181e+05, 2.457e-01]
89000 [2.181e+05, 2.458e-01]
90000 [2.182e+05, 2.461e-01]
91000 [2.185e+05, 2.461e-01]
92000 [2.184e+05, 2.465e-01]
93000 [2.181e+05, 2.471e-01]
94000 [2.180e+05, 2.475e-01]
95000 [2.145e+05, 2.495e-01]
96000 [2.164e+05, 2.497e-01]
97000 [2.168e+05, 2.495e-01]
98000 [2.169e+05, 2.492e-01]
99000 [2.172e+05, 2.486e-01]
100000 [2.175e+05, 2.477e-01]
101000 [2.178e+05, 2.465e-01]
102000 [2.181e+05, 2.456e-01]
103000 [2.182e+05, 2.449e-01]
104000 [2.183e+05, 2.451e-01]
105000 [2.183e+05, 2.453e-01]
106000 [2.183e+05, 2.454e-01]
107000 [2.131e+05, 2.420e-01]
108000 [2.172e+05, 2.432e-01]
109000 [2.181e+05, 2.432e-01]
110000 [2.182e+05, 2.429e-01]
111000 [2.184e+05, 2.426e-01]
112000 [2.186e+05, 2.420e-01]
113000 [2.187e+05, 2.414e-01]
114000 [2.190e+05, 2.408e-01]
115000 [2.191e+05, 2.406e-01]
116000 [2.192e+05, 2.407e-01]
117000 [2.192e+05, 2.410e-01]
118000 [2.190e+05, 2.415e-01]
119000 [2.183e+05, 2.369e-01]
120000 [2.194e+05, 2.376e-01]
121000 [2.195e+05, 2.382e-01]
122000 [2.195e+05, 2.388e-01]
123000 [2.195e+05, 2.393e-01]
124000 [2.194e+05, 2.398e-01]
125000 [2.193e+05, 2.406e-01]
126000 [2.192e+05, 2.414e-01]
127000 [2.189e+05, 2.422e-01]
127065 [2.189e+05, 2.423e-01]
