0 [1.000e+05, 2.000e-01]
1000 [5.099e+04, 1.750e-01]
2000 [1.570e+04, 1.684e-01]
3000 [1.176e+04, 1.681e-01]
4000 [1.150e+04, 1.674e-01]
5000 [1.144e+04, 1.668e-01]
6000 [1.161e+04, 1.664e-01]
7000 [1.155e+04, 1.658e-01]
8000 [1.164e+04, 1.647e-01]
9000 [1.172e+04, 1.638e-01]
10000 [1.175e+04, 1.627e-01]
11000 [1.178e+04, 1.618e-01]
12000 [9.584e+03, 1.686e-01]
13000 [1.101e+04, 1.682e-01]
14000 [1.122e+04, 1.676e-01]
15000 [1.125e+04, 1.668e-01]
16000 [1.136e+04, 1.665e-01]
17000 [1.148e+04, 1.671e-01]
18000 [1.154e+04, 1.670e-01]
19000 [1.168e+04, 1.663e-01]
20000 [1.166e+04, 1.663e-01]
21000 [1.172e+04, 1.658e-01]
22000 [1.164e+04, 1.653e-01]
23000 [1.173e+04, 1.654e-01]
24000 [1.174e+04, 1.651e-01]
25000 [1.100e+04, 1.560e-01]
26000 [1.178e+04, 1.556e-01]
27000 [1.196e+04, 1.547e-01]
28000 [1.199e+04, 1.532e-01]
29000 [1.191e+04, 1.512e-01]
30000 [1.183e+04, 1.494e-01]
31000 [1.177e+04, 1.482e-01]
32000 [1.170e+04, 1.474e-01]
33000 [1.163e+04, 1.472e-01]
34000 [1.166e+04, 1.473e-01]
35000 [1.170e+04, 1.480e-01]
36000 [1.172e+04, 1.489e-01]
37000 [1.171e+04, 1.500e-01]
38000 [1.213e+04, 1.423e-01]
39000 [1.173e+04, 1.423e-01]
40000 [1.168e+04, 1.423e-01]
41000 [1.167e+04, 1.422e-01]
42000 [1.167e+04, 1.418e-01]
43000 [1.172e+04, 1.414e-01]
44000 [1.174e+04, 1.412e-01]
45000 [1.175e+04, 1.415e-01]
46000 [1.172e+04, 1.417e-01]
47000 [1.169e+04, 1.418e-01]
48000 [1.170e+04, 1.419e-01]
49000 [1.162e+04, 1.440e-01]
50000 [1.182e+04, 1.443e-01]
51000 [1.177e+04, 1.448e-01]
52000 [1.175e+04, 1.453e-01]
53000 [1.176e+04, 1.459e-01]
54000 [1.184e+04, 1.459e-01]
55000 [1.188e+04, 1.458e-01]
56000 [1.189e+04, 1.458e-01]
57000 [1.193e+04, 1.451e-01]
58000 [1.196e+04, 1.450e-01]
59000 [1.195e+04, 1.452e-01]
60000 [1.205e+04, 1.458e-01]
61000 [1.187e+04, 1.469e-01]
62000 [1.211e+04, 1.440e-01]
63000 [1.189e+04, 1.444e-01]
64000 [1.188e+04, 1.450e-01]
65000 [1.186e+04, 1.458e-01]
66000 [1.183e+04, 1.461e-01]
67000 [1.182e+04, 1.469e-01]
68000 [1.182e+04, 1.475e-01]
69000 [1.182e+04, 1.482e-01]
70000 [1.182e+04, 1.490e-01]
71000 [9.911e+03, 1.523e-01]
72000 [1.211e+04, 1.539e-01]
73000 [1.204e+04, 1.536e-01]
74000 [1.197e+04, 1.536e-01]
75000 [1.186e+04, 1.540e-01]
76000 [1.178e+04, 1.548e-01]
77000 [1.176e+04, 1.555e-01]
78000 [1.175e+04, 1.562e-01]
79000 [1.175e+04, 1.569e-01]
80000 [1.174e+04, 1.574e-01]
81000 [1.172e+04, 1.583e-01]
82000 [1.208e+04, 1.602e-01]
83000 [1.196e+04, 1.605e-01]
84000 [1.187e+04, 1.607e-01]
85000 [1.178e+04, 1.613e-01]
86000 [1.173e+04, 1.618e-01]
87000 [1.170e+04, 1.624e-01]
88000 [1.165e+04, 1.629e-01]
89000 [1.165e+04, 1.636e-01]
90000 [1.165e+04, 1.644e-01]
91000 [1.163e+04, 1.651e-01]
92000 [1.162e+04, 1.660e-01]
93000 [1.159e+04, 1.675e-01]
94000 [1.156e+04, 1.687e-01]
95000 [1.166e+04, 1.686e-01]
96000 [1.162e+04, 1.685e-01]
97000 [1.161e+04, 1.686e-01]
98000 [1.161e+04, 1.685e-01]
99000 [1.162e+04, 1.683e-01]
100000 [1.163e+04, 1.681e-01]
101000 [1.162e+04, 1.679e-01]
102000 [1.163e+04, 1.679e-01]
103000 [1.160e+04, 1.682e-01]
104000 [1.161e+04, 1.691e-01]
105000 [1.161e+04, 1.706e-01]
106000 [1.156e+04, 1.724e-01]
107000 [1.160e+04, 1.800e-01]
108000 [1.152e+04, 1.797e-01]
109000 [1.149e+04, 1.796e-01]
110000 [1.148e+04, 1.797e-01]
111000 [1.147e+04, 1.797e-01]
112000 [1.147e+04, 1.798e-01]
113000 [1.151e+04, 1.801e-01]
114000 [1.152e+04, 1.814e-01]
115000 [1.152e+04, 1.834e-01]
116000 [1.150e+04, 1.852e-01]
117000 [1.149e+04, 1.871e-01]
118000 [1.188e+04, 1.873e-01]
119000 [1.174e+04, 1.869e-01]
120000 [1.165e+04, 1.866e-01]
121000 [1.158e+04, 1.864e-01]
122000 [1.155e+04, 1.863e-01]
123000 [1.152e+04, 1.860e-01]
124000 [1.153e+04, 1.855e-01]
125000 [1.154e+04, 1.853e-01]
126000 [1.154e+04, 1.854e-01]
127000 [1.152e+04, 1.861e-01]
128000 [1.150e+04, 1.876e-01]
129000 [1.149e+04, 1.893e-01]
129845 [1.159e+04, 1.853e-01]
