0 [1.800e+05, 2.500e-01]
1000 [1.752e+05, 2.440e-01]
2000 [1.752e+05, 2.440e-01]
3000 [1.750e+05, 2.437e-01]
4000 [1.749e+05, 2.435e-01]
5000 [1.744e+05, 2.427e-01]
6000 [1.741e+05, 2.425e-01]
7000 [1.731e+05, 2.410e-01]
8000 [1.715e+05, 2.387e-01]
9000 [1.711e+05, 2.383e-01]
10000 [1.683e+05, 2.341e-01]
11000 [1.677e+05, 2.338e-01]
12000 [1.671e+05, 2.332e-01]
13000 [1.525e+05, 2.144e-01]
14000 [1.525e+05, 2.144e-01]
15000 [1.525e+05, 2.144e-01]
16000 [1.525e+05, 2.144e-01]
17000 [1.525e+05, 2.144e-01]
18000 [1.524e+05, 2.144e-01]
19000 [1.524e+05, 2.144e-01]
20000 [1.517e+05, 2.139e-01]
21000 [1.517e+05, 2.141e-01]
22000 [1.514e+05, 2.141e-01]
23000 [1.510e+05, 2.140e-01]
24000 [1.506e+05, 2.144e-01]
25000 [1.307e+05, 1.895e-01]
26000 [1.307e+05, 1.895e-01]
27000 [1.307e+05, 1.896e-01]
28000 [1.307e+05, 1.896e-01]
29000 [1.307e+05, 1.897e-01]
30000 [1.307e+05, 1.898e-01]
31000 [1.307e+05, 1.900e-01]
32000 [1.307e+05, 1.903e-01]
33000 [1.306e+05, 1.906e-01]
34000 [1.302e+05, 1.909e-01]
35000 [1.069e+05, 1.573e-01]
36000 [1.070e+05, 1.574e-01]
37000 [1.070e+05, 1.576e-01]
38000 [1.070e+05, 1.577e-01]
39000 [1.070e+05, 1.581e-01]
40000 [1.071e+05, 1.586e-01]
41000 [1.072e+05, 1.595e-01]
42000 [1.072e+05, 1.609e-01]
43000 [1.029e+05, 1.578e-01]
44000 [1.032e+05, 1.613e-01]
45000 [1.037e+05, 1.676e-01]
46000 [1.038e+05, 1.776e-01]
47000 [8.442e+04, 1.716e-01]
48000 [8.437e+04, 1.717e-01]
49000 [8.436e+04, 1.718e-01]
50000 [8.438e+04, 1.721e-01]
51000 [8.441e+04, 1.726e-01]
52000 [8.448e+04, 1.735e-01]
53000 [8.459e+04, 1.751e-01]
54000 [8.482e+04, 1.775e-01]
55000 [8.525e+04, 1.814e-01]
56000 [8.594e+04, 1.883e-01]
57000 [8.670e+04, 1.998e-01]
58000 [6.892e+04, 1.940e-01]
59000 [6.891e+04, 1.941e-01]
60000 [6.893e+04, 1.941e-01]
61000 [6.895e+04, 1.943e-01]
62000 [6.900e+04, 1.945e-01]
63000 [6.909e+04, 1.949e-01]
64000 [6.926e+04, 1.956e-01]
65000 [6.952e+04, 1.968e-01]
66000 [6.995e+04, 1.988e-01]
67000 [7.060e+04, 2.022e-01]
68000 [7.141e+04, 2.078e-01]
69000 [5.247e+04, 1.873e-01]
70000 [5.250e+04, 1.875e-01]
71000 [5.254e+04, 1.879e-01]
72000 [5.263e+04, 1.886e-01]
73000 [5.279e+04, 1.899e-01]
74000 [5.308e+04, 1.921e-01]
75000 [5.362e+04, 1.959e-01]
76000 [5.461e+04, 2.029e-01]
77000 [5.542e+04, 2.152e-01]
78000 [5.583e+04, 2.364e-01]
79000 [5.627e+04, 2.716e-01]
80000 [6.103e+04, 3.402e-01]
81000 [5.031e+04, 3.817e-01]
82000 [5.029e+04, 3.817e-01]
83000 [5.030e+04, 3.817e-01]
83805 [5.031e+04, 3.818e-01]
