0 [1.000e+05, 2.000e-01]
1000 [1.161e+05, 2.112e-01]
2000 [1.344e+05, 2.198e-01]
3000 [1.497e+05, 2.277e-01]
4000 [1.614e+05, 2.343e-01]
5000 [1.708e+05, 2.409e-01]
6000 [1.784e+05, 2.470e-01]
7000 [1.845e+05, 2.524e-01]
8000 [1.895e+05, 2.573e-01]
9000 [1.934e+05, 2.614e-01]
10000 [1.965e+05, 2.652e-01]
11000 [1.990e+05, 2.687e-01]
12000 [2.011e+05, 2.718e-01]
13000 [2.027e+05, 2.744e-01]
14000 [2.041e+05, 2.770e-01]
15000 [2.051e+05, 2.791e-01]
16000 [2.060e+05, 2.810e-01]
17000 [2.066e+05, 2.826e-01]
18000 [2.072e+05, 2.842e-01]
19000 [2.058e+05, 2.793e-01]
20000 [2.061e+05, 2.801e-01]
21000 [2.065e+05, 2.813e-01]
22000 [2.071e+05, 2.830e-01]
23000 [2.075e+05, 2.848e-01]
24000 [2.079e+05, 2.864e-01]
25000 [2.082e+05, 2.877e-01]
26000 [2.084e+05, 2.888e-01]
27000 [2.086e+05, 2.896e-01]
28000 [2.088e+05, 2.903e-01]
29000 [2.089e+05, 2.910e-01]
30000 [2.090e+05, 2.915e-01]
31000 [2.091e+05, 2.921e-01]
32000 [2.091e+05, 2.922e-01]
33000 [2.092e+05, 2.926e-01]
34000 [2.092e+05, 2.930e-01]
35000 [2.093e+05, 2.933e-01]
36000 [2.093e+05, 2.936e-01]
37000 [2.090e+05, 2.916e-01]
38000 [2.092e+05, 2.924e-01]
39000 [2.093e+05, 2.931e-01]
40000 [2.094e+05, 2.935e-01]
41000 [2.095e+05, 2.938e-01]
42000 [2.095e+05, 2.941e-01]
43000 [2.095e+05, 2.943e-01]
44000 [2.092e+05, 2.927e-01]
45000 [2.093e+05, 2.934e-01]
46000 [2.094e+05, 2.939e-01]
47000 [2.095e+05, 2.943e-01]
48000 [2.096e+05, 2.946e-01]
49000 [2.096e+05, 2.948e-01]
50000 [2.097e+05, 2.950e-01]
51000 [2.096e+05, 2.951e-01]
52000 [2.092e+05, 2.933e-01]
53000 [2.093e+05, 2.939e-01]
54000 [2.094e+05, 2.945e-01]
55000 [2.095e+05, 2.949e-01]
56000 [2.096e+05, 2.951e-01]
57000 [2.097e+05, 2.954e-01]
58000 [2.097e+05, 2.954e-01]
59000 [2.097e+05, 2.955e-01]
60000 [2.097e+05, 2.957e-01]
61000 [2.097e+05, 2.958e-01]
62000 [2.097e+05, 2.959e-01]
63000 [2.090e+05, 2.927e-01]
64000 [2.092e+05, 2.932e-01]
65000 [2.094e+05, 2.939e-01]
66000 [2.095e+05, 2.945e-01]
67000 [2.096e+05, 2.950e-01]
68000 [2.097e+05, 2.953e-01]
69000 [2.097e+05, 2.955e-01]
70000 [2.097e+05, 2.957e-01]
71000 [2.096e+05, 2.951e-01]
72000 [2.097e+05, 2.957e-01]
73000 [2.097e+05, 2.960e-01]
74000 [2.098e+05, 2.961e-01]
75000 [2.098e+05, 2.963e-01]
76000 [2.098e+05, 2.964e-01]
77000 [2.093e+05, 2.941e-01]
78000 [2.094e+05, 2.945e-01]
79000 [2.095e+05, 2.951e-01]
80000 [2.097e+05, 2.956e-01]
81000 [2.097e+05, 2.960e-01]
82000 [2.097e+05, 2.962e-01]
83000 [2.098e+05, 2.964e-01]
84000 [2.094e+05, 2.949e-01]
85000 [2.095e+05, 2.953e-01]
86000 [2.096e+05, 2.959e-01]
87000 [2.097e+05, 2.962e-01]
88000 [2.097e+05, 2.964e-01]
89000 [2.098e+05, 2.966e-01]
90000 [2.098e+05, 2.968e-01]
91000 [2.098e+05, 2.969e-01]
92000 [2.092e+05, 2.941e-01]
93000 [2.093e+05, 2.945e-01]
94000 [2.095e+05, 2.952e-01]
95000 [2.097e+05, 2.958e-01]
96000 [2.097e+05, 2.962e-01]
97000 [2.097e+05, 2.965e-01]
98000 [2.098e+05, 2.968e-01]
99000 [2.098e+05, 2.969e-01]
100000 [2.098e+05, 2.971e-01]
101000 [2.096e+05, 2.960e-01]
102000 [2.097e+05, 2.966e-01]
103000 [2.097e+05, 2.969e-01]
104000 [2.098e+05, 2.971e-01]
105000 [2.098e+05, 2.973e-01]
106000 [2.098e+05, 2.974e-01]
107000 [2.095e+05, 2.959e-01]
108000 [2.096e+05, 2.963e-01]
109000 [2.097e+05, 2.969e-01]
110000 [2.098e+05, 2.972e-01]
111000 [2.098e+05, 2.974e-01]
112000 [2.098e+05, 2.975e-01]
113000 [2.098e+05, 2.976e-01]
114000 [2.098e+05, 2.977e-01]
115000 [2.095e+05, 2.957e-01]
116000 [2.096e+05, 2.961e-01]
117000 [2.097e+05, 2.968e-01]
117653 [2.097e+05, 2.970e-01]
