0 [1.000e+05, 2.000e-01]
1000 [9.856e+04, 1.971e-01]
2000 [9.855e+04, 1.971e-01]
3000 [9.855e+04, 1.971e-01]
4000 [9.855e+04, 1.971e-01]
5000 [9.855e+04, 1.971e-01]
6000 [9.845e+04, 1.969e-01]
7000 [9.811e+04, 1.963e-01]
8000 [9.784e+04, 1.958e-01]
9000 [9.784e+04, 1.958e-01]
10000 [9.765e+04, 1.954e-01]
11000 [9.766e+04, 1.953e-01]
12000 [8.669e+04, 1.749e-01]
13000 [8.670e+04, 1.749e-01]
14000 [8.672e+04, 1.749e-01]
15000 [8.675e+04, 1.750e-01]
16000 [8.680e+04, 1.750e-01]
17000 [8.688e+04, 1.750e-01]
18000 [8.702e+04, 1.751e-01]
19000 [8.721e+04, 1.751e-01]
20000 [8.752e+04, 1.752e-01]
21000 [8.800e+04, 1.753e-01]
22000 [8.881e+04, 1.754e-01]
23000 [9.019e+04, 1.758e-01]
24000 [8.253e+04, 1.611e-01]
25000 [8.257e+04, 1.611e-01]
26000 [8.263e+04, 1.611e-01]
27000 [8.273e+04, 1.612e-01]
28000 [8.289e+04, 1.612e-01]
29000 [8.315e+04, 1.614e-01]
30000 [8.354e+04, 1.615e-01]
31000 [8.410e+04, 1.617e-01]
32000 [8.509e+04, 1.621e-01]
33000 [8.671e+04, 1.628e-01]
34000 [8.916e+04, 1.640e-01]
35000 [8.095e+04, 1.483e-01]
36000 [8.117e+04, 1.485e-01]
37000 [8.153e+04, 1.487e-01]
38000 [8.209e+04, 1.491e-01]
39000 [8.298e+04, 1.497e-01]
40000 [8.436e+04, 1.507e-01]
41000 [8.645e+04, 1.523e-01]
42000 [8.953e+04, 1.549e-01]
43000 [9.394e+04, 1.588e-01]
44000 [8.799e+04, 1.459e-01]
45000 [8.803e+04, 1.459e-01]
46000 [8.809e+04, 1.459e-01]
46372 [8.812e+04, 1.460e-01]
