0 [1.000e+05, 2.000e-01]
1000 [1.151e+05, 2.116e-01]
2000 [1.328e+05, 2.196e-01]
3000 [1.483e+05, 2.276e-01]
4000 [1.606e+05, 2.348e-01]
5000 [1.705e+05, 2.417e-01]
6000 [1.786e+05, 2.479e-01]
7000 [1.852e+05, 2.535e-01]
8000 [1.904e+05, 2.582e-01]
9000 [1.945e+05, 2.622e-01]
10000 [1.977e+05, 2.661e-01]
11000 [1.994e+05, 2.669e-01]
12000 [2.014e+05, 2.702e-01]
13000 [2.033e+05, 2.735e-01]
14000 [2.047e+05, 2.763e-01]
15000 [2.056e+05, 2.778e-01]
16000 [2.066e+05, 2.803e-01]
17000 [2.072e+05, 2.820e-01]
18000 [2.077e+05, 2.835e-01]
19000 [2.074e+05, 2.812e-01]
20000 [2.078e+05, 2.827e-01]
21000 [2.083e+05, 2.846e-01]
22000 [2.086e+05, 2.863e-01]
23000 [2.089e+05, 2.875e-01]
24000 [2.090e+05, 2.885e-01]
25000 [2.092e+05, 2.894e-01]
26000 [2.092e+05, 2.898e-01]
27000 [2.093e+05, 2.908e-01]
28000 [2.094e+05, 2.912e-01]
29000 [2.095e+05, 2.920e-01]
30000 [2.094e+05, 2.912e-01]
31000 [2.095e+05, 2.922e-01]
32000 [2.095e+05, 2.929e-01]
33000 [2.087e+05, 2.901e-01]
34000 [2.089e+05, 2.907e-01]
35000 [2.092e+05, 2.916e-01]
36000 [2.094e+05, 2.924e-01]
37000 [2.095e+05, 2.931e-01]
38000 [2.095e+05, 2.938e-01]
39000 [2.096e+05, 2.942e-01]
40000 [2.096e+05, 2.945e-01]
41000 [2.092e+05, 2.924e-01]
42000 [2.094e+05, 2.930e-01]
43000 [2.095e+05, 2.938e-01]
44000 [2.096e+05, 2.945e-01]
45000 [2.096e+05, 2.949e-01]
46000 [2.097e+05, 2.953e-01]
47000 [2.097e+05, 2.956e-01]
48000 [2.097e+05, 2.957e-01]
49000 [2.097e+05, 2.960e-01]
50000 [2.097e+05, 2.962e-01]
51000 [2.097e+05, 2.964e-01]
52000 [2.096e+05, 2.959e-01]
53000 [2.097e+05, 2.963e-01]
54000 [2.097e+05, 2.965e-01]
55000 [2.097e+05, 2.967e-01]
56000 [2.097e+05, 2.965e-01]
57000 [2.097e+05, 2.968e-01]
58000 [2.097e+05, 2.969e-01]
59000 [2.097e+05, 2.970e-01]
60000 [2.094e+05, 2.956e-01]
61000 [2.095e+05, 2.962e-01]
62000 [2.096e+05, 2.966e-01]
63000 [2.096e+05, 2.968e-01]
64000 [2.096e+05, 2.970e-01]
65000 [2.096e+05, 2.969e-01]
66000 [2.097e+05, 2.972e-01]
67000 [2.097e+05, 2.972e-01]
68000 [2.094e+05, 2.958e-01]
69000 [2.095e+05, 2.963e-01]
70000 [2.096e+05, 2.968e-01]
71000 [2.096e+05, 2.970e-01]
72000 [2.096e+05, 2.972e-01]
73000 [2.096e+05, 2.973e-01]
74000 [2.096e+05, 2.973e-01]
75000 [2.097e+05, 2.975e-01]
76000 [2.095e+05, 2.962e-01]
77000 [2.096e+05, 2.966e-01]
78000 [2.097e+05, 2.969e-01]
79000 [2.097e+05, 2.970e-01]
80000 [2.098e+05, 2.971e-01]
81000 [2.098e+05, 2.972e-01]
82000 [2.098e+05, 2.973e-01]
83000 [2.097e+05, 2.975e-01]
84000 [2.097e+05, 2.976e-01]
85000 [2.095e+05, 2.965e-01]
86000 [2.095e+05, 2.970e-01]
87000 [2.096e+05, 2.974e-01]
88000 [2.097e+05, 2.976e-01]
89000 [2.097e+05, 2.977e-01]
90000 [2.097e+05, 2.978e-01]
91000 [2.097e+05, 2.978e-01]
92000 [2.097e+05, 2.979e-01]
93000 [2.096e+05, 2.976e-01]
94000 [2.097e+05, 2.979e-01]
95000 [2.097e+05, 2.979e-01]
96000 [2.096e+05, 2.977e-01]
97000 [2.094e+05, 2.968e-01]
98000 [2.095e+05, 2.972e-01]
99000 [2.096e+05, 2.976e-01]
100000 [2.096e+05, 2.978e-01]
101000 [2.097e+05, 2.979e-01]
101296 [2.097e+05, 2.980e-01]
